Index,Artist,Song Name,Streams,Release Date,Genre,Loudness,Popularity,Danceability,Tempo,Energy,Chord,Duration (ms)
390,Juice WRLD,Robbery,5024884,2019-03-08,"['chicago rap', 'melodic rap']",-5.122,83.0,0.685,159,0.692,D,240051
391,Jorge & Mateus,Paradigmas,5018076,2021-04-22,"['sertanejo', 'sertanejo universitario']",-4.103,72.0,0.686,157,0.789,C#/Db,157355
392,ElyOtto,SugarCrash!,5018005,2020-08-25,['weirdcore'],-6.499,80.0,0.748,97,0.734,C,80081
393,Baby Keem,durag activity (with Travis Scott),7939784,2021-04-30,"['hip hop', 'rap', 'trap', 'underground hip hop']",-5.712,75.0,0.89,80,0.701,C,225020
394,Machine Gun Kelly,love race (feat. Kellin Quinn),6325080,2021-04-29,"['ohio hip hop', 'pop rap']",-4.054,76.0,0.517,95,0.848,A#/Bb,188779
395,DJ Khaled,POPSTAR (feat. Drake),6127103,2020-07-17,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",-4.818,80.0,0.8,163,0.56,F,200221
396,DJ Khaled,LET IT GO (feat. Justin Bieber & 21 Savage),6083338,2021-04-30,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",-7.547,75.0,0.877,129,0.444,G#/Ab,165527
397,Anitta,Girl From Rio,5768836,2021-05-21,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']",-7.472,69.0,0.732,139,0.604,C,195429
398,ROSÃ,On The Ground,5655879,2021-03-12,[],-6.578,74.0,0.311,188,0.607,C#/Db,168086
399,Taylor Swift,Mr. Perfectly Fine (Taylorâs Version) (From The Vault),5480722,2021-04-09,"['pop', 'post-teen pop']",-6.269,74.0,0.66,135,0.817,B,277592
400,Billie Eilish,when the party's over,5467596,2021-08-13,[],-14.075,0.0,0.484,124,0.103,C#/Db,199931
401,"J Balvin, Khalid",Otra Noche Sin Ti,5377794,2021-04-09,"['latin', 'reggaeton', 'reggaeton colombiano']",-7.564,80.0,0.503,94,0.548,C,228920
402,Demi Lovato,Met Him Last Night (feat. Ariana Grande),5200695,2021-04-02,"['dance pop', 'pop', 'post-teen pop']",-4.548,72.0,0.538,144,0.512,E,204632
403,Pooh Shiesty,Back In Blood (feat. Lil Durk),5198209,2020-11-06,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",-8.256,75.0,0.759,146,0.538,G#/Ab,184490
404,Lil Tjay,Run It Up (feat. Offset & Moneybagg Yo),5107084,2021-04-02,"['brooklyn drill', 'melodic rap', 'nyc rap']",-6.091,81.0,0.88,120,0.575,F#/Gb,232048
405,"Wisin, Myke Towers, Los Legendarios",Mi NiÃ±a,5026961,2020-09-23,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",-3.402,79.0,0.823,99,0.821,G#/Ab,213314
406,Justin Bieber,As I Am (feat. Khalid),5896065,2021-03-19,"['canadian pop', 'pop', 'post-teen pop']",-8.149,72.0,0.595,99,0.543,B,174406
407,H.E.R.,Come Through (feat. Chris Brown),5531998,2021-04-23,"['alternative r&b', 'dance pop', 'pop', 'r&b']",-8.019,74.0,0.615,135,0.422,F,214094
408,HVME,Goosebumps,5496962,2021-01-15,"['rap', 'slap house']",-7.846,87.0,0.841,124,0.593,C#/Db,162803
409,Ritt Momney,Put Your Records On,5181180,2020-04-24,['bedroom pop'],-10.778,81.0,0.399,91,0.491,F#/Gb,210463
410,"Diego & Victor Hugo, Bruno & Marrone",Facas - Ao Vivo,5141640,2020-10-15,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",-5.995,79.0,0.443,160,0.509,D,196380
411,James Arthur,Train Wreck,5081800,2016-10-28,"['pop', 'post-teen pop', 'talent show', 'uk pop']",-5.726,82.0,0.311,77,0.485,F#/Gb,208827
412,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),5069268,2020-11-20,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",-7.076,79.0,0.652,145,0.383,D,178994
413,The Weeknd,In Your Eyes,5054319,2020-03-20,"['canadian contemporary r&b', 'canadian pop', 'pop']",-5.371,81.0,0.667,100,0.719,G,237520
414,XXXTENTACION,SAD!,5051338,2018-03-16,"['emo rap', 'miami hip hop']",-4.88,84.0,0.74,75,0.613,G#/Ab,166606
415,Mimi Webb,Good Without,4998044,2021-03-26,"['alt z', 'indie cafe pop', 'pop', 'uk pop']",-5.495,81.0,0.616,89,0.576,B,182121
416,blackbear,hot girl bummer,4992396,2020-08-21,"['electropop', 'pop', 'pop rap']",-7.106,83.0,0.782,129,0.559,F#/Gb,188344
417,Bruno Mars,When I Was Your Man,4945935,2012-12-07,"['dance pop', 'pop', 'post-teen pop']",-8.648,82.0,0.612,72,0.28,C,213827
418,"KAROL G, Anuel AA, J Balvin",LOCATION,4940701,2021-08-12,[],-3.891,0.0,0.772,115,0.758,A,265240
419,Twenty One Pilots,Stressed Out,4913147,2015-05-15,"['modern rock', 'rock']",-5.677,83.0,0.734,169,0.637,E,202333
420,"Young Stoner Life, Young Thug, Gunna",Ski,7753784,2021-04-16,"['rap', 'trap']",-7.638,78.0,0.953,123,0.621,G#/Ab,152333
421,"Young Stoner Life, Young Thug, Gunna",Diamonds Dancing (feat. Travis Scott),7515766,2021-04-16,"['rap', 'trap']",-7.351,69.0,0.851,74,0.703,E,242600
422,Taylor Swift,Love Story (Taylorâs Version),6202933,2021-04-09,"['pop', 'post-teen pop']",-4.311,73.0,0.627,119,0.792,D,235767
423,"Wesley SafadÃ£o, Os BarÃµes Da Pisadinha","Ele Ã Ele, Eu Sou Eu",5380517,2020-11-12,['forro'],-8.754,73.0,0.758,163,0.763,C#/Db,155210
424,Os BarÃµes Da Pisadinha,Quero Ver Ã© Me Esquecer (feat. Jorge) - Ao Vivo,5159208,2021-02-19,"['forro', 'piseiro']",-2.324,80.0,0.593,171,0.932,G#/Ab,147876
425,Taylor Swift,willow,5016865,2020-12-11,"['pop', 'post-teen pop']",-9.195,79.0,0.392,81,0.574,G,214707
426,Arctic Monkeys,Why'd You Only Call Me When You're High?,4976405,2013-09-09,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",-6.478,82.0,0.691,92,0.631,D,161124
427,Ed Sheeran,Afterglow,4965330,2021-08-13,[],-5.851,0.0,0.641,110,0.324,B,185487
428,"J Balvin, Bad Bunny",LA CANCIÃN,4959754,2019-06-28,"['latin', 'reggaeton', 'reggaeton colombiano']",-5.795,83.0,0.754,176,0.646,G,242573
429,Taylor Swift,You Belong With Me (Taylorâs Version),9872084,2021-04-09,"['pop', 'post-teen pop']",-4.856,73.0,0.632,130,0.773,F#/Gb,231124
430,Taylor Swift,Fearless (Taylorâs Version),9676024,2021-04-09,"['pop', 'post-teen pop']",-4.963,69.0,0.569,100,0.741,F,241592
431,DMX,X Gon' Give It To Ya,8638360,2007-06-12,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",-3.09,73.0,0.761,95,0.899,A#/Bb,217587
432,Taylor Swift,Fifteen (Taylorâs Version),7852063,2021-04-09,"['pop', 'post-teen pop']",-4.61,66.0,0.559,95,0.646,G,294419
433,Taylor Swift,The Way I Loved You (Taylorâs Version),7736262,2021-04-09,"['pop', 'post-teen pop']",-4.665,72.0,0.402,161,0.732,F,243137
434,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylorâs Version) (From The Vault),7712896,2021-03-26,"['pop', 'post-teen pop']",-7.606,65.0,0.589,142,0.496,D,220839
435,Taylor Swift,Hey Stephen (Taylorâs Version),7385864,2021-04-09,"['pop', 'post-teen pop']",-6.135,66.0,0.788,115,0.571,F#/Gb,254255
436,Taylor Swift,White Horse (Taylorâs Version),7039222,2021-04-09,"['pop', 'post-teen pop']",-7.377,65.0,0.423,185,0.517,C,234516
437,Taylor Swift,Forever & Always (Taylorâs Version),6566059,2021-04-09,"['pop', 'post-teen pop']",-4.433,66.0,0.598,128,0.821,A#/Bb,225328
438,Taylor Swift,Breathe (feat. Colbie Caillat) (Taylorâs Version),6508683,2021-04-09,"['pop', 'post-teen pop']",-6.066,64.0,0.506,148,0.626,C#/Db,263377
439,DMX,Ruff Ryders' Anthem,5988511,1998-05-01,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",-8.093,72.0,0.88,90,0.577,A#/Bb,214440
440,Taylor Swift,Thatâs When (feat. Keith Urban) (Taylorâs Version) (From The Vault),5889939,2021-04-09,"['pop', 'post-teen pop']",-7.062,67.0,0.588,90,0.608,F,189496
441,Taylor Swift,Tell Me Why (Taylorâs Version),5885151,2021-04-09,"['pop', 'post-teen pop']",-3.669,63.0,0.578,100,0.909,G,200576
442,Taylor Swift,Youâre Not Sorry (Taylorâs Version),5860405,2021-04-09,"['pop', 'post-teen pop']",-4.99,64.0,0.506,133,0.444,F#/Gb,261843
443,"Sebastian Yatra, Guaynaa",Chica Ideal,5217052,2021-08-09,[],-3.665,0.0,0.574,100,0.891,C,183240
444,"Sech, Daddy Yankee, J Balvin, ROSALÃA, Farruko",RelaciÃ³n - Remix,5206614,2020-09-04,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",-3.417,80.0,0.793,171,0.771,F,247308
445,Taylor Swift,Donât You (Taylorâs Version) (From The Vault),5197564,2021-04-09,"['pop', 'post-teen pop']",-11.548,65.0,0.563,101,0.473,D#/Eb,208609
446,Taylor Swift,We Were Happy (Taylorâs Version) (From The Vault),5189423,2021-04-09,"['pop', 'post-teen pop']",-8.819,64.0,0.609,106,0.373,C,244237
447,"KHEA, Duki",WACHA,5172999,2021-04-01,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste']",-4.25,75.0,0.737,94,0.634,D#/Eb,206360
448,Demi Lovato,Dancing With The Devil,5836326,2021-03-26,"['dance pop', 'pop', 'post-teen pop']",-5.811,66.0,0.413,75,0.64,G#/Ab,243992
449,ROSÃ,Gone,5427638,2021-03-12,[],-6.003,71.0,0.647,79,0.377,F#/Gb,207164
450,"Sam Fischer, Demi Lovato",What Other People Say,5413003,2021-02-04,"['alt z', 'australian pop', 'dance pop', 'indie cafe pop', 'pop', 'post-teen pop', 'uk pop']",-8.084,77.0,0.652,126,0.472,G,194890
451,Pop Smoke,Hello (feat. A Boogie Wit da Hoodie),5323062,2020-07-20,['brooklyn drill'],-5.065,82.0,0.905,130,0.647,A#/Bb,190534
452,"Kevin Roldan, Bryant Myers, Lyanno",Hasta Abajo,5269163,2019-10-04,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton colombiano', 'reggaeton flow', 'trap latino']",-5.119,77.0,0.714,169,0.671,F,229827
453,Jason Derulo,Take You Dancing,5176493,2020-07-22,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",-4.248,82.0,0.789,112,0.711,D,190306
454,Justin Bieber,Unstable (feat. The Kid LAROI),5137645,2021-03-19,"['canadian pop', 'pop', 'post-teen pop']",-10.109,74.0,0.495,99,0.333,E,158324
455,Ariana Grande,Stuck with U (with Justin Bieber),5094660,2020-05-08,"['dance pop', 'pop', 'post-teen pop']",-6.658,84.0,0.597,178,0.45,G#/Ab,228482
456,Mother Mother,Hayloft,5086382,2008-09-23,"['indie pop', 'vancouver indie']",-2.666,81.0,0.527,95,0.922,A,181680
457,DJ Ivis,Esquema Preferido (feat. TarcÃ­sio do Acordeon),5078174,2020-11-26,['piseiro'],-4.386,73.0,0.676,160,0.823,F,190680
458,"Rusherking, KHEA, Duki, Maria Becerra, LIT killah, Tiago PZK",AdemÃ¡s de MÃ­ - Remix,5060336,2021-03-04,"['trap argentino', 'trap latino', 'trap triste']",-5.077,78.0,0.397,78,0.613,F#/Gb,330040
459,"Maroon 5, Wiz Khalifa",Payphone,5052717,2012-01-01,"['pop', 'pop rock']",-4.828,74.0,0.739,110,0.756,E,231387
460,Justin Bieber,Ghost,5013450,2021-03-19,"['canadian pop', 'pop', 'post-teen pop']",-5.569,71.0,0.601,153,0.741,D,153190
461,Justin Bieber,Off My Face,5004111,2021-03-19,"['canadian pop', 'pop', 'post-teen pop']",-8.68,75.0,0.509,90,0.228,E,156468
462,Jack Harlow,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",4972518,2020-12-11,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",-5.224,73.0,0.904,145,0.723,B,227478
463,a-ha,Take on Me,4969662,1985-06-01,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']",-7.638,84.0,0.573,84,0.902,F#/Gb,225280
464,"Camilo, El Alfa",BEBÃ,4967348,2020-11-25,"['colombian pop', 'reggaeton colombiano']",-4.048,78.0,0.862,129,0.72,E,198707
465,Rod Wave,Richer (feat. Polo G),6292362, , ,,,0.0,0,, , 
466,J Balvin,Tu Veneno,6007541,2021-03-19,"['latin', 'reggaeton', 'reggaeton colombiano']",-4.232,76.0,0.664,175,0.659,A#/Bb,157320
467,Justin Bieber,Deserve You,5837372,2021-03-19,"['canadian pop', 'pop', 'post-teen pop']",-7.831,69.0,0.677,89,0.633,G,187239
468,Justin Bieber,2 Much,5794583,2021-03-19,"['canadian pop', 'pop', 'post-teen pop']",-8.601,70.0,0.583,119,0.444,A,152796
469,"KAROL G, Nicki Minaj",Tusa,5510113,2019-11-07,"['latin', 'reggaeton', 'reggaeton colombiano']",-3.28,80.0,0.803,101,0.715,D,200960
470,"Ozuna, J Balvin, Chencho Corleone",Una Locura,5466954,2020-09-04,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",-4.596,81.0,0.714,168,0.761,F,230693
471,Justin Bieber,Loved By You (feat. Burna Boy),5419040,2021-03-19,"['canadian pop', 'pop', 'post-teen pop']",-6.972,69.0,0.79,101,0.724,C#/Db,159250
472,Zoe Wees,Girls Like Us,5410730,2021-01-12,['german pop'],-4.955,78.0,0.444,125,0.648,C#/Db,189000
473,Drake,Lemon Pepper Freestyle (feat. Rick Ross),5365747,2021-03-05,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",-5.53,76.0,0.77,94,0.637,C#/Db,383037
474,"DJ Ivis, TarcÃ­sio do Acordeon",Esquema Preferido,5356696,2020-11-26,['piseiro'],-4.386,73.0,0.676,160,0.823,F,190680
475,"Jason Derulo, Nuka",Love Not War (The Tampa Beat),5326719,2020-11-20,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",-3.049,79.0,0.738,98,0.85,G#/Ab,192921
476,Justin Bieber,Die For You (feat. Dominic Fike),5323412,2021-03-19,"['canadian pop', 'pop', 'post-teen pop']",-6.629,67.0,0.728,135,0.629,C#/Db,198426
477,"The Weeknd, Daft Punk",Starboy,5302285,2016-11-25,"['canadian contemporary r&b', 'canadian pop', 'pop']",-7.015,83.0,0.679,186,0.587,G,230453
478,Farruko,La TÃ³xica,5255393,2020-07-24,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",-4.107,78.0,0.659,91,0.701,A,180520
479,Hugo & Guilherme,CoraÃ§Ã£o Na Cama - Ao Vivo,5211351,2020-11-13,['sertanejo pop'],-4.096,77.0,0.764,110,0.794,G#/Ab,173227
480,Justin Bieber,Love You Different (feat. BEAM),10024729,2021-03-19,"['canadian pop', 'pop', 'post-teen pop']",-6.655,66.0,0.759,127,0.584,G#/Ab,186696
481,Justin Bieber,Somebody,8912458,2010-01-01,"['canadian pop', 'pop', 'post-teen pop']",-5.239,67.0,0.714,129,0.833,F,220920
482,Lana Del Rey,White Dress,5796978,2021-03-19,"['art pop', 'pop']",-12.805,65.0,0.493,122,0.263,C,333710
483,"Nicky Jam, Myke Towers",Polvo,5528508,2020-11-20,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",-6.169,76.0,0.763,82,0.621,B,211130
484,Lana Del Rey,Chemtrails Over The Country Club,5418816,2021-03-19,"['art pop', 'pop']",-13.125,73.0,0.334,201,0.276,E,271177
485,"Maluma, Lenny TavÃ¡rez",Parce (feat. Justin Quiles),5312876,2020-08-21,"['latin', 'reggaeton', 'reggaeton colombiano']",-3.09,78.0,0.691,83,0.739,F,248345
486,Camilo,Ropa Cara,5249427,2021-01-18,"['colombian pop', 'reggaeton colombiano']",-4.787,73.0,0.813,170,0.526,E,163320
487,Camilo,Vida de Rico,5189822,2020-09-21,"['colombian pop', 'reggaeton colombiano']",-5.428,79.0,0.824,87,0.457,F#/Gb,187427
488,Hippie Sabotage,Devil Eyes,5098581,2016-02-05,"['edm', 'electronic trap']",-8.621,80.0,0.391,99,0.396,C#/Db,131272
489,Justin Quiles,Ponte Pa' Mi,5082870,2020-11-20,"['latin', 'reggaeton', 'trap latino']",-4.566,76.0,0.878,92,0.713,F,202373
490,Selena Gomez,DÃ¡melo Toâ (feat. Myke Towers),6426522,2021-03-12,"['dance pop', 'pop', 'post-teen pop']",-7.376,64.0,0.787,182,0.641,G#/Ab,184134
491,KSI,Patience (feat. YUNGBLUD & Polo G),6155698,2021-03-12,['uk hip hop'],-4.272,71.0,0.616,122,0.741,G,181720
492,DJ Snake,Selfish Love (with Selena Gomez),6020785,2021-03-04,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']",-7.973,74.0,0.723,110,0.646,F,168649
493,Sia,Snowman,5454807,2018-11-01,"['australian dance', 'australian pop', 'dance pop', 'pop']",-6.257,77.0,0.716,104,0.512,C#/Db,165907
494,Machine Gun Kelly,DAYWALKER! (feat. CORPSE),5439646,2021-03-12,"['ohio hip hop', 'pop rap']",-2.173,74.0,0.632,88,0.922,G,137747
495,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,5198514,2020-06-12,"['latin', 'reggaeton', 'trap latino']",-4.798,82.0,0.845,90,0.677,B,219048
496,Robin Schulz,All We Got (feat. KIDDO),5156937,2020-10-16,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",-4.246,74.0,0.504,183,0.76,E,190218
497,Doja Cat,Say So,5103528,2019-11-07,"['dance pop', 'pop']",-4.583,82.0,0.787,110,0.673,B,237893
498,XXXTENTACION,Hope,5085527,2018-03-16,"['emo rap', 'miami hip hop']",-6.081,84.0,0.592,146,0.457,A,110886
499,Tame Impala,The Less I Know The Better,5084635,2015-07-17,"['australian psych', 'neo-psychedelic']",-4.083,84.0,0.64,116,0.74,E,216320
500,"The Weeknd, Daft Punk",I Feel It Coming,5079857,2016-11-25,"['canadian contemporary r&b', 'canadian pop', 'pop']",-5.946,80.0,0.773,92,0.819,C,269187
501,Pop Smoke,Mood Swings (feat. Lil Tjay),5068349,2020-07-03,['brooklyn drill'],-6.335,82.0,0.48,179,0.602,A#/Bb,213333
502,BANNERS,Someone To You,5054881,2019-10-04,"['indie cafe pop', 'indie poptimism', 'modern rock', 'pop', 'pop rock']",-5.497,79.0,0.52,74,0.903,D,219801
503,Pamungkas,To the Bone,5052557,2019-06-14,['indonesian pop'],-6.55,81.0,0.668,139,0.727,G,344571
504,BLACKPINK,How You Like That,5023592,2020-10-02,"['k-pop', 'k-pop girl group']",-5.222,79.0,0.812,130,0.761,B,182956
505,"NF, Hopsin",LOST,5013851,2021-03-11,"['hip hop', 'pop rap', 'rap']",-3.123,66.0,0.637,116,0.912,F,234852
506,Madame,VOCE,5510906,2021-08-13,[],-5.471,0.0,0.615,112,0.834,G#/Ab,211411
507,Pop Smoke,AP - Music from the film Boogie,5462333,2021-02-26,['brooklyn drill'],-6.859,75.0,0.751,148,0.744,C#/Db,171892
508,Juice WRLD,Life's A Mess II (with Clever & Post Malone),5393459,2021-03-05,"['chicago rap', 'melodic rap']",-9.989,72.0,0.53,140,0.37,F#/Gb,206734
509,"Francesca Michielin, Fedez",CHIAMAMI PER NOME,5321946,2021-03-03,"['italian adult pop', 'italian indie pop', 'italian pop', 'italian pop rock']",-4.318,67.0,0.641,89,0.636,A#/Bb,222667
510,"Anuel AA, Ozuna",Antes,5232377,2021-01-22,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",-5.453,73.0,0.817,93,0.737,F#/Gb,206587
511,"Booba, JSX",Mona Lisa,5208787,2021-03-04,"['french hip hop', 'old school rap francais', 'pop urbaine', 'rap conscient']",-7.681,72.0,0.784,134,0.529,B,187362
512,Lil Baby,Real As It Gets (feat. EST Gee),5170861,2021-03-04,"['atl hip hop', 'atl trap', 'rap', 'trap']",-5.891,74.0,0.779,140,0.705,F#/Gb,192804
513,Lele Pons,Se Te Nota (with Guaynaa),5168240,2020-09-02,"['latin pop', 'viral pop']",-3.152,77.0,0.905,103,0.686,C,155825
514,"Ofenbach, Quarterhead",Head Shoulders Knees & Toes (feat. Norma Jean Martine),5093408,2020-05-08,"['edm', 'new french touch', 'pop dance', 'tropical house']",-5.36,79.0,0.798,124,0.828,D,156960
515,Lil Peep,Star Shopping,5073657,2015,"['emo rap', 'lgbtq+ hip hop']",-9.934,82.0,0.585,93,0.471,E,142000
516,BÃRNS,Electric Love,5060903,2015-10-16,"['modern alternative rock', 'modern rock', 'pop']",-7.627,83.0,0.611,120,0.797,F#/Gb,218107
517,Conan Gray,Maniac,5044929,2020-03-20,"['alt z', 'bedroom pop', 'electropop', 'indie pop', 'pop', 'post-teen pop']",-5.46,82.0,0.628,108,0.639,G#/Ab,185773
518,Post Malone,Only Wanna Be With You - PokÃ©mon 25 Version,7464020,2021-02-25,"['dfw rap', 'melodic rap', 'rap']",-4.563,72.0,0.47,98,0.709,G,241360
519,Ariana Grande,test drive,6591829,2021-02-19,"['dance pop', 'pop', 'post-teen pop']",-4.943,71.0,0.698,115,0.708,A,122174
520,"C. Tangana, NiÃ±o de Elche, La HÃºngara",TÃº Me Dejaste De Querer,5874460,2021-02-26,['urbano espanol'],-4.778,75.0,0.823,83,0.723,E,198493
521,The Kid LAROI,SO DONE,5440707,2020-10-23,['australian hip hop'],-6.254,74.0,0.719,142,0.598,A,126521
522,Justin Quiles,Jeans,5145966,2020-08-14,"['latin', 'reggaeton', 'trap latino']",-4.395,75.0,0.807,83,0.656,D#/Eb,185840
523,Arizona Zervas,ROXANNE,5124742,2019-10-10,"['pop rap', 'rhode island rap']",-5.616,82.0,0.621,116,0.601,F#/Gb,163636
524,Post Malone,rockstar (feat. 21 Savage),5115990,2018-04-27,"['dfw rap', 'melodic rap', 'rap']",-6.136,83.0,0.585,159,0.52,F,218147
525,"C. Tangana, Ed Maverick",PÃ¡rteme La Cara,5079580,2021-02-26,['urbano espanol'],-10.22,70.0,0.761,127,0.296,C,167867
526,Halsey,Without Me,5016283,2018-10-04,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",-7.05,79.0,0.752,136,0.488,F#/Gb,201661
527,Bad Bunny,BOOKER T,4995965,2020-11-27,"['latin', 'reggaeton', 'trap latino']",-7.188,77.0,0.883,113,0.6,G,156430
528,Justin Bieber,Intentions (feat. Quavo),4994138,2020-02-14,"['canadian pop', 'pop', 'post-teen pop']",-6.637,77.0,0.806,147,0.546,A,212867
529,Clairo,Sofia,4982892,2019-08-02,"['bedroom pop', 'indie pop', 'pop']",-9.805,81.0,0.744,112,0.619,C,188387
530,Ed Sheeran,Photograph,4974880,2014-06-21,"['pop', 'uk pop']",-10.48,83.0,0.614,107,0.379,E,258987
531,Ariana Grande,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",6162453, , ,,,0.0,0,, , 
532,"Bausa, Apache 207",Madonna,5936752,2021-02-26,"['german hip hop', 'german pop']",-8.96,68.0,0.806,116,0.565,B,195734
533,NF,CLOUDS,5897983,2021-02-18,"['hip hop', 'pop rap', 'rap']",-3.944,69.0,0.793,128,0.65,C#/Db,243750
534,Shawn Mendes,Wonder,5535339,2021-08-13,[],-4.904,0.0,0.333,139,0.637,C#/Db,172693
535,Sabrina Carpenter,Skin,5497942,2021-01-22,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",-5.372,76.0,0.557,105,0.457,G,177500
536,Jack Harlow,Tyler Herro,5168107,2020-10-22,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",-7.16,76.0,0.794,123,0.756,F,156498
537,Sara Kays,Remember That Night?,5116325,2020-11-06,"['alt z', 'indie cafe pop', 'modern indie pop', 'pop', 'social media pop']",-10.936,78.0,0.679,123,0.61,G,227186
538,"Jason Derulo, Maroon 5",Lifestyle (feat. Adam Levine),5059891,2021-01-21,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",-5.128,78.0,0.749,123,0.674,A#/Bb,153865
539,Tones And I,Fly Away,5053713,2020-11-13,"['australian pop', 'pop']",-6.208,79.0,0.806,124,0.513,E,178157
540,"Ozuna, Camilo",Despeinada,5004462,2020-09-04,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",-3.855,75.0,0.734,166,0.775,G#/Ab,224187
541,Ariana Grande,motive (with Doja Cat),4986037,2020-10-30,"['dance pop', 'pop', 'post-teen pop']",-5.664,80.0,0.789,116,0.742,A#/Bb,167990
542,Ed Sheeran,I Don't Care (with Justin Bieber),4984399,2019-05-10,"['pop', 'uk pop']",-5.041,80.0,0.798,101,0.675,F#/Gb,219947
543,KAROL G,"Ay, DiOs MÃ­o!",5344862,2021-08-12,[],-4.423,0.0,0.715,179,0.706,B,189840
544,"Bizarrap, Nathy Peluso","Nathy Peluso: Bzrp Music Sessions, Vol. 36",5232509,2020-11-27,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",-3.71,77.0,0.65,94,0.655,C#/Db,171215
545,"Maluma, The Weeknd",HawÃ¡i - Remix,5163323,2020-11-05,"['latin', 'reggaeton', 'reggaeton colombiano']",-3.128,77.0,0.766,179,0.788,F#/Gb,200482
546,Rauw Alejandro,Tattoo - Remix with Camilo,5120753,2020-07-09,"['puerto rican pop', 'trap latino']",-5.132,78.0,0.848,96,0.637,A,222680
547,TarcÃ­sio do Acordeon,Meia Noite (VocÃª tem meu Whatsapp),5044252,2020-12-17,[],-4.787,67.0,0.709,150,0.816,B,237900
548,XXXTENTACION,Moonlight,5003825,2018-03-16,"['emo rap', 'miami hip hop']",-5.723,83.0,0.921,128,0.537,A,135090
549,Ed Sheeran,Thinking out Loud,4995623,2014-06-21,"['pop', 'uk pop']",-6.061,82.0,0.781,78,0.445,D,281560
550,Drake,Toosie Slide,4966878,2020-04-03,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",-9.75,78.0,0.834,81,0.454,C#/Db,247059
551,The Weeknd,Earned It (Fifty Shades Of Grey),4929647,2015-08-28,"['canadian contemporary r&b', 'canadian pop', 'pop']",-8.275,69.0,0.659,119,0.291,D,277680
552,Surf Mesa,ily (i love you baby) (feat. Emilee),4908929,2019-11-26,['tropical house'],-7.567,81.0,0.674,112,0.774,B,176547
553,Oasis,Wonderwall,4902737,1995,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",-4.097,78.0,0.375,174,0.893,D,258773
554,XXXTENTACION,Everybody Dies In Their Nightmares,4847224,2017-08-25,"['emo rap', 'miami hip hop']",-7.066,83.0,0.734,129,0.57,G,95467
555,Juice WRLD,Bad Boy (with Young Thug),6011642,2021-01-15,"['chicago rap', 'melodic rap']",-6.326,76.0,0.697,81,0.674,C#/Db,157355
556,Billie Eilish,Lo Vas A Olvidar (with ROSALÃA),5963380,2021-01-21,"['electropop', 'pop']",-14.66,68.0,0.343,135,0.243,E,203464
557,"Sia, David Guetta",Floating Through Space,5579697,2021-02-04,"['australian dance', 'australian pop', 'dance pop', 'pop']",-4.89,78.0,0.575,104,0.844,F#/Gb,177801
